	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
323	taconic	taconic	1	f3	35	0	0	0	0	1	svc
324	taconic	taconic	1	f3	36	4	1	1	1	1	svc
325	taconic	taconic	1	f3	37	1	1	1	1	0	svc
326	taconic	taconic	1	f3	38	2	1	0	1	1	svc
327	charles_river	charles_river	1	f4	39	3	1	0	0	1	svc
328	taconic	taconic	1	f4	40	2	0	0	1	0	svc
329	charles_river	charles_river	1	f4	41	3	1	0	0	1	svc
330	taconic	taconic	1	f4	42	3	0	0	0	1	svc
331	taconic	taconic	1	f4	43	4	1	1	1	0	svc
332	charles_river	charles_river	1	f4	44	0	1	0	0	1	svc
333	charles_river	charles_river	1	f4	45	1	1	1	1	0	svc
334	charles_river	charles_river	1	f4	46	1	0	1	1	0	svc
335	charles_river	charles_river	1	f4	47	2	0	0	1	0	svc
336	taconic	taconic	1	f0	0	4	1	1	1	0	perceptron
337	charles_river	taconic	0	f0	1	2	0	0	1	1	perceptron
338	taconic	taconic	1	f0	2	1	1	1	1	1	perceptron
339	charles_river	charles_river	1	f0	3	3	0	0	0	1	perceptron
340	charles_river	charles_river	1	f0	4	3	0	0	0	1	perceptron
341	charles_river	charles_river	1	f0	5	4	0	1	1	0	perceptron
342	charles_river	charles_river	1	f0	6	0	0	0	0	1	perceptron
343	taconic	taconic	1	f0	7	2	1	0	1	0	perceptron
344	taconic	taconic	1	f0	8	2	1	0	1	0	perceptron
345	charles_river	charles_river	1	f0	9	4	1	1	1	0	perceptron
346	charles_river	charles_river	1	f1	10	1	0	1	1	0	perceptron
347	charles_river	charles_river	1	f1	11	0	0	0	0	1	perceptron
348	taconic	taconic	1	f1	12	4	0	1	1	0	perceptron
349	taconic	taconic	1	f1	13	3	1	0	0	1	perceptron
350	taconic	taconic	1	f1	14	0	1	0	0	1	perceptron
351	charles_river	charles_river	1	f1	15	0	1	0	0	1	perceptron
352	charles_river	charles_river	1	f1	16	1	0	1	1	0	perceptron
353	charles_river	charles_river	1	f1	17	0	0	0	0	1	perceptron
354	charles_river	charles_river	1	f1	18	1	0	1	1	0	perceptron
355	charles_river	charles_river	1	f1	19	0	0	0	0	1	perceptron
356	charles_river	charles_river	1	f2	20	2	0	0	1	0	perceptron
357	charles_river	charles_river	1	f2	21	1	0	1	1	0	perceptron
358	taconic	taconic	1	f2	22	2	0	0	1	0	perceptron
359	taconic	taconic	1	f2	23	3	1	0	0	1	perceptron
360	charles_river	charles_river	1	f2	24	0	1	0	0	1	perceptron
361	taconic	taconic	1	f2	25	3	0	0	0	1	perceptron
362	taconic	taconic	1	f2	26	1	1	1	1	1	perceptron
363	taconic	taconic	1	f2	27	2	1	0	1	0	perceptron
364	taconic	taconic	1	f2	28	2	1	0	1	1	perceptron
365	taconic	taconic	1	f2	29	4	1	1	1	0	perceptron
366	charles_river	charles_river	1	f3	30	0	1	0	0	1	perceptron
367	taconic	taconic	1	f3	31	4	0	1	1	0	perceptron
368	taconic	taconic	1	f3	32	3	1	0	0	1	perceptron
369	charles_river	charles_river	1	f3	33	1	1	1	1	0	perceptron
